iter	Passed	Remaining
0	0	54
1	1	49
2	1	46
3	2	48
4	3	67
5	4	77
6	6	83
7	7	86
8	8	89
9	10	90
10	11	91
11	12	93
12	13	93
13	15	92
14	16	93
15	17	92
16	18	92
17	20	91
18	21	89
19	22	88
20	23	86
21	24	85
22	24	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	57
46	50	56
47	51	55
48	52	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	43
57	58	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	63	35
64	64	34
65	64	33
66	65	32
67	66	31
68	66	30
69	67	28
70	68	27
71	69	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	76	15
83	77	14
84	78	13
85	79	12
86	79	11
87	80	10
88	81	10
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	86	1
98	87	0
99	87	0
