iter	Passed	Remaining
0	144	143872
1	145	72640
2	146	48845
3	148	36999
4	150	30027
5	152	25310
6	154	21898
7	155	19334
8	157	17330
9	159	15805
10	161	14485
11	162	13376
12	163	12427
13	165	11656
14	166	10948
15	167	10317
16	168	9760
17	169	9252
18	170	8794
19	170	8377
20	171	8005
21	172	7669
22	173	7359
23	173	7075
24	174	6812
25	175	6569
26	176	6348
27	176	6139
28	177	5945
29	178	5763
30	178	5593
31	179	5432
32	180	5281
33	180	5141
34	181	5008
35	182	4880
36	182	4762
37	183	4650
38	184	4545
39	185	4447
40	186	4351
41	186	4258
42	187	4168
43	188	4084
44	188	4006
45	189	3929
46	190	3854
47	190	3785
48	191	3718
49	192	3654
50	193	3593
51	193	3532
52	194	3475
53	195	3419
54	195	3365
55	196	3313
56	197	3263
57	197	3215
58	198	3168
59	199	3125
60	200	3082
61	201	3042
62	201	3000
63	202	2960
64	203	2922
65	203	2885
66	204	2848
67	205	2812
68	205	2777
69	206	2744
70	207	2711
71	207	2680
72	208	2649
73	209	2618
74	209	2588
75	210	2559
76	211	2531
77	211	2503
78	212	2476
79	213	2449
80	213	2425
81	214	2400
82	214	2373
83	215	2349
84	216	2327
85	216	2304
86	217	2282
87	218	2261
88	218	2241
89	219	2220
90	220	2200
91	221	2182
92	221	2162
93	222	2144
94	223	2125
95	223	2106
96	224	2088
97	224	2070
98	225	2053
99	226	2036
100	226	2019
101	227	2004
102	228	1989
103	229	1974
104	229	1959
105	230	1945
106	231	1930
107	232	1916
108	232	1902
109	233	1888
110	234	1875
111	234	1861
112	235	1848
113	236	1835
114	236	1822
115	237	1808
116	237	1795
117	238	1783
118	239	1770
119	239	1759
120	240	1747
121	241	1735
122	241	1724
123	242	1713
124	243	1702
125	243	1691
126	244	1679
127	245	1669
128	245	1658
129	246	1649
130	247	1639
131	247	1629
132	248	1619
133	249	1609
134	249	1601
135	250	1591
136	251	1582
137	251	1573
138	252	1564
139	253	1555
140	253	1546
141	254	1536
142	254	1527
143	255	1521
144	256	1513
145	257	1506
146	258	1498
147	258	1490
148	259	1482
149	260	1474
150	260	1466
151	261	1459
152	262	1452
153	263	1445
154	263	1438
155	264	1431
156	265	1424
157	266	1417
158	266	1410
159	267	1403
160	267	1395
161	268	1388
162	269	1381
163	269	1375
164	270	1369
165	271	1362
166	271	1355
167	272	1349
168	273	1343
169	273	1337
170	274	1331
171	275	1324
172	275	1318
173	276	1312
